Language,Station
assamese,dibrugarh
assamese,guwahati
bengali,agartala
bengali,kolkata
bengali,silchar
bhojpuri,gorakhpur
bhutia,gangtok
chhattisgarh,raipur
dogri,jammu
english,itanagar
english,kohima
english,shillong
gojri,jammu
gujarati,ahmedabad
gujarati,bhuj
hindi,bhopal
hindi,dehradun
hindi,gorakhpur
hindi,itanagar
hindi,jaipur
hindi,lucknow
hindi,patna
hindi,raipur
hindi,ranchi
hindi,shimla
kannada,bengaluru
kannada,dharwad
konkani,panaji
lepcha,gangtok
maithili,patna
malayalam,calicut
malayalam,thiruvananthapuram
manipuri,imphal
marathi,csnagar
marathi,mumbai
marathi,nagpur
marathi,pune
mizo,aizawl
nepali,gangtok
nepali,kurseong
odia,cuttack
punjabi,jalandhar
rajasthani,jaipur
sambalpuri,sambalpur
tamil,chennai
tamil,pudducherry
tamil,tiruchirapalli
telugu,hyderabad
telugu,vijayawada
telugu,visakhapatnam
urdu,csnagar
urdu,hyderabad
urdu,srinagar
