Station,Language,Date,Time,URL_audio,URL_text,audio_file,pdf_file,audio_dur
agartala,bengali,2025-06-19,735,https://www.newsonair.gov.in/wp-content/uploads/2025/06/agar-beng-0735.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/englai-00735.pdf,../data/raw/audio/bengali_agartala_2025-06-19_735.mp3,../data/raw/text/bengali_agartala_2025-06-19_735.pdf,4.73
ahmedabad,gujarati,2025-06-19,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ahmdaa-0710.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/ahmda-0710.pdf,../data/raw/audio/gujarati_ahmedabad_2025-06-19_710.mp3,../data/raw/text/gujarati_ahmedabad_2025-06-19_710.pdf,9.51
aizawl,mizo,2025-06-19,730,https://www.newsonair.gov.in/wp-content/uploads/2025/06/azwl-730-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/azwl-730-8.pdf,../data/raw/audio/mizo_aizawl_2025-06-19_730.mp3,../data/raw/text/mizo_aizawl_2025-06-19_730.pdf,12.2
bengaluru,kannada,2025-06-19,1430,https://www.newsonair.gov.in/wp-content/uploads/2025/06/knnna-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/b-kannada-5.pdf,../data/raw/audio/kannada_bengaluru_2025-06-19_1430.mp3,../data/raw/text/kannada_bengaluru_2025-06-19_1430.pdf,9.38
bhopal,hindi,2025-06-19,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhopal-0710-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bho-4.pdf,../data/raw/audio/hindi_bhopal_2025-06-19_710.mp3,../data/raw/text/hindi_bhopal_2025-06-19_710.pdf,8.83
bhuj,gujarati,2025-06-19,650,https://www.newsonair.gov.in/wp-content/uploads/2025/06/BHUJ-5.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhuj-650-4.pdf,../data/raw/audio/gujarati_bhuj_2025-06-19_650.mp3,../data/raw/text/gujarati_bhuj_2025-06-19_650.pdf,4.94
calicut,malayalam,2025-06-19,645,https://www.newsonair.gov.in/wp-content/uploads/2025/06/calict-0645.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/caicut-0645.pdf,../data/raw/audio/malayalam_calicut_2025-06-19_645.mp3,../data/raw/text/malayalam_calicut_2025-06-19_645.pdf,9.78
chandigarh,hindi,2025-06-19,1305,https://www.newsonair.gov.in/wp-content/uploads/2025/06/chandi-1305-2.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/chandi-1305-2.pdf,../data/raw/audio/hindi_chandigarh_2025-06-19_1305.mp3,../data/raw/text/hindi_chandigarh_2025-06-19_1305.pdf,4.91
chennai,tamil,2025-06-19,645,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tamil-0645-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/tamil-645-4.pdf,../data/raw/audio/tamil_chennai_2025-06-19_645.mp3,../data/raw/text/tamil_chennai_2025-06-19_645.pdf,9.78
csnagar,marathi,2025-06-19,710,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Chhatrapati-Sambhajinagar-7-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Chhatrapati-Sambhajinagar-7-4.pdf,../data/raw/audio/marathi_csnagar_2025-06-19_710.mp3,../data/raw/text/marathi_csnagar_2025-06-19_710.pdf,9.87
csnagar,urdu,2025-06-19,900,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Chhatrapati-Sambhajinagar-9-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/accc-9.pdf,../data/raw/audio/urdu_csnagar_2025-06-19_900.mp3,../data/raw/text/urdu_csnagar_2025-06-19_900.pdf,9.66
cuttack,odia,2025-06-19,705,https://www.newsonair.gov.in/wp-content/uploads/2025/06/odia-0705-9.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/odia-0705-9.pdf,../data/raw/audio/odia_cuttack_2025-06-19_705.mp3,../data/raw/text/odia_cuttack_2025-06-19_705.pdf,5.44
dehradun,hindi,2025-06-19,720,https://www.newsonair.gov.in/wp-content/uploads/2025/06/der-720-7.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/der-720-5.pdf,../data/raw/audio/hindi_dehradun_2025-06-19_720.mp3,../data/raw/text/hindi_dehradun_2025-06-19_720.pdf,10.78
dharwad,kannada,2025-06-19,705,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kan-0705-7.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/kan-0705-6.pdf,../data/raw/audio/kannada_dharwad_2025-06-19_705.mp3,../data/raw/text/kannada_dharwad_2025-06-19_705.pdf,10.0
dibrugarh,assamese,2025-06-19,1800,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Assamese1800-1.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Assamese-News.pdf,../data/raw/audio/assamese_dibrugarh_2025-06-19_1800.mp3,../data/raw/text/assamese_dibrugarh_2025-06-19_1800.pdf,4.64
gangtok,bhutia,2025-06-19,1850,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhutia-6.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhutia-6.pdf,../data/raw/audio/bhutia_gangtok_2025-06-19_1850.mp3,../data/raw/text/bhutia_gangtok_2025-06-19_1850.pdf,4.28
gangtok,lepcha,2025-06-19,1845,https://www.newsonair.gov.in/wp-content/uploads/2025/06/lecha.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/Lepcha-7.pdf,../data/raw/audio/lepcha_gangtok_2025-06-19_1845.mp3,../data/raw/text/lepcha_gangtok_2025-06-19_1845.pdf,4.69
gangtok,nepali,2025-06-19,1840,https://www.newsonair.gov.in/wp-content/uploads/2025/06/g-nepali-3.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/g-nepali-1.pdf,../data/raw/audio/nepali_gangtok_2025-06-19_1840.mp3,../data/raw/text/nepali_gangtok_2025-06-19_1840.pdf,5.6
gorakhpur,bhojpuri,2025-06-19,1800,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhojjjjj-gorakh.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/bhoj-gorakh-8.pdf,../data/raw/audio/bhojpuri_gorakhpur_2025-06-19_1800.mp3,../data/raw/text/bhojpuri_gorakhpur_2025-06-19_1800.pdf,4.97
gorakhpur,hindi,2025-06-19,720,https://www.newsonair.gov.in/wp-content/uploads/2025/06/GORAKHPUR-4.mp3,https://www.newsonair.gov.in/wp-content/uploads/2025/06/GORAKHPUR-4.pdf,../data/raw/audio/hindi_gorakhpur_2025-06-19_720.mp3,../data/raw/text/hindi_gorakhpur_2025-06-19_720.pdf,9.95
